epoch,lossRate,learnRate,trainAcc,testAcc
0,1.6046220064163208,0.0001,38.781730308703786,38.85405781957506
1,1.52728271484375,1e-05,38.86881177341403,38.71473354231975
2,1.621139407157898,1e-05,38.75560586929072,37.68721699756182
3,1.566900610923767,1e-05,38.9689554578308,37.878787878787875
4,1.582808017730713,1.0000000000000002e-06,38.75560586929072,38.41866945315221
5,1.5630929470062256,1.0000000000000002e-06,38.546610353986146,38.24451410658307
6,1.5971612930297852,1.0000000000000002e-06,38.90799843253363,38.76698014629049
7,1.611419916152954,1.0000000000000002e-06,38.5640266469282,38.61024033437826
8,1.5329583883285522,1.0000000000000002e-07,38.94718509165324,39.35910832462556
9,1.5290836095809937,1.0000000000000002e-07,38.672878477816,38.76698014629049
10,1.6139256954193115,1.0000000000000002e-07,38.90364435929812,38.662486938349
11,1.5435924530029297,1.0000000000000002e-07,38.672878477816,38.26192964123998
12,1.5263137817382812,1.0000000000000002e-07,38.91235250576915,38.55799373040752
13,1.5567835569381714,1.0000000000000002e-07,38.847041407236475,38.69731800766283
14,1.6257524490356443,1.0000000000000002e-07,39.17795097313536,38.47091605712295
15,1.6092681884765625,1.0000000000000002e-07,39.18230504637088,37.86137234413096
16,1.594290256500244,1.0000000000000002e-07,39.07345321548308,38.24451410658307
17,1.5806015729904177,1.0000000000000002e-07,38.74689772281969,38.83664228491815
18,1.5633652210235596,1.0000000000000002e-07,38.76431401576174,38.41866945315221
19,1.6263017654418943,1.0000000000000002e-07,38.98201767753733,38.08777429467084
20,1.568289041519165,1.0000000000000002e-07,,
21,1.5914760828018188,1.0000000000000002e-07,,
22,1.5629976987838743,1.0000000000000002e-07,,
23,1.5523474216461182,1.0000000000000002e-07,,
24,1.550784468650818,1.0000000000000002e-07,,
25,1.6142704486846924,1.0000000000000002e-07,,
26,1.5989197492599487,1.0000000000000002e-07,,
27,1.5479109287261963,1.0000000000000002e-07,,
28,1.56795334815979,1.0000000000000002e-07,,
29,1.6103307008743286,1.0000000000000002e-07,,
30,1.5565701723098757,1.0000000000000002e-07,,
31,1.6123257875442505,1.0000000000000002e-07,,
32,1.5893607139587402,1.0000000000000002e-07,,
33,1.56071674823761,1.0000000000000002e-07,,
34,1.509792447090149,1.0000000000000002e-07,,
35,1.5407837629318235,1.0000000000000002e-07,,
36,1.6549935340881348,1.0000000000000002e-07,,
37,1.59109628200531,1.0000000000000002e-07,,
38,1.5616064071655271,1.0000000000000002e-07,,
39,1.5923593044281006,1.0000000000000002e-07,,
40,1.5889675617218018,1.0000000000000002e-07,,
41,1.6319957971572876,1.0000000000000002e-07,,
42,1.5370290279388428,1.0000000000000002e-07,,
43,1.49051833152771,1.0000000000000002e-07,,
44,1.5723876953125,1.0000000000000002e-07,,
45,1.5225870609283447,1.0000000000000002e-07,,
46,1.5676498413085938,1.0000000000000002e-07,,
47,1.565447449684143,1.0000000000000002e-07,,
48,1.6361618041992188,1.0000000000000002e-07,,
49,1.6029363870620728,1.0000000000000002e-07,,
50,1.570481538772583,1.0000000000000002e-07,,
51,1.5580236911773682,1.0000000000000002e-07,,
52,1.578436017036438,1.0000000000000002e-07,,
53,1.4920579195022583,1.0000000000000002e-07,,
54,1.634425401687622,1.0000000000000002e-07,,
55,1.5918117761611938,1.0000000000000002e-07,,
56,1.5758100748062134,1.0000000000000002e-07,,
57,1.6056749820709229,1.0000000000000002e-07,,
58,1.5409194231033323,1.0000000000000002e-07,,
59,1.5985921621322632,1.0000000000000002e-07,,
60,1.624877691268921,1.0000000000000002e-07,,
61,1.577815294265747,1.0000000000000002e-07,,
62,1.5525126457214355,1.0000000000000002e-07,,
63,1.6024649143218994,1.0000000000000002e-07,,
64,1.556216835975647,1.0000000000000002e-07,,
65,1.5790143013000488,1.0000000000000002e-07,,
66,1.5803451538085938,1.0000000000000002e-07,,
67,1.606174111366272,1.0000000000000002e-07,,
68,1.627497911453247,1.0000000000000002e-07,,
69,1.5553803443908691,1.0000000000000002e-07,,
70,1.5818208456039429,1.0000000000000002e-07,,
71,1.5855954885482788,1.0000000000000002e-07,,
72,1.5865355730056765,1.0000000000000002e-07,,
73,1.5919914245605469,1.0000000000000002e-07,,
74,1.5748156309127808,1.0000000000000002e-07,,
75,1.6104313135147097,1.0000000000000002e-07,,
76,1.6063692569732666,1.0000000000000002e-07,,
77,1.5196337699890137,1.0000000000000002e-07,,
78,1.5390092134475708,1.0000000000000002e-07,,
79,1.5442196130752563,1.0000000000000002e-07,,
80,1.5254371166229248,1.0000000000000002e-07,,
81,1.5999418497085571,1.0000000000000002e-07,,
82,1.5639324188232422,1.0000000000000002e-07,,
83,1.5411216020584106,1.0000000000000002e-07,,
84,1.486968755722046,1.0000000000000002e-07,,
85,1.6108673810958862,1.0000000000000002e-07,,
86,1.579146385192871,1.0000000000000002e-07,,
87,1.5305356979370115,1.0000000000000002e-07,,
88,1.6487125158309937,1.0000000000000002e-07,,
89,1.4793567657470703,1.0000000000000002e-07,,
90,1.5817885398864746,1.0000000000000002e-07,,
91,1.6367669105529783,1.0000000000000002e-07,,
92,1.5533273220062256,1.0000000000000002e-07,,
93,1.552854061126709,1.0000000000000002e-07,,
94,1.5632343292236328,1.0000000000000002e-07,,
95,1.5544373989105225,1.0000000000000002e-07,,
96,1.600601315498352,1.0000000000000002e-07,,
97,1.5953742265701294,1.0000000000000002e-07,,
98,1.5316427946090698,1.0000000000000002e-07,,
99,1.5650265216827393,1.0000000000000002e-07,,
