epoch,lossRate,learnRate,trainAcc,testAcc
0,1.7067829370498655,1.0000000000000002e-07,33.87904384551748,33.80355276907001
1,1.7017582654953003,1.0000000000000006e-12,34.36234597465929,34.30860327412051
2,1.6566218137741089,1.000000000000001e-16,33.87904384551748,33.768721699756185
3,1.719504952430725,1.0000000000000012e-21,33.97483345669874,34.15186346220829
4,1.6990360021591189,1.0000000000000014e-25,34.12287194670614,34.395680947405076
5,1.6677035093307495,1.0000000000000017e-30,34.10545565376409,33.22884012539185
6,1.741153597831726,1.0000000000000019e-34,34.09239343405756,33.78613723441309
7,1.6911193132400513,1.000000000000002e-39,34.192537118474334,33.85579937304075
8,1.7132612466812134,1.0000000000000023e-43,34.00966604258283,33.36816440264716
9,1.6829830408096311,1.0000000000000024e-48,33.996603822876295,34.11703239289446
10,1.6768783330917358,1.0000000000000026e-52,34.410240780249914,34.02995471960989
11,1.6651551723480225,1.000000000000003e-57,34.19689119170984,34.60466736328805
12,1.7592023611068726,1.0000000000000035e-61,34.00966604258283,33.82096830372692
13,1.6739226579666138,1.0000000000000038e-66,34.471197805547085,33.61198188784395
14,1.7154749631881714,1.0000000000000042e-70,34.14028823964819,33.45524207593173
15,1.6696090698242188,1.0000000000000044e-75,34.18382897200331,33.57715081853012
16,1.6727803945541382,1.0000000000000045e-79,33.78760830757173,33.80355276907001
17,1.6991758346557615,1.0000000000000048e-84,33.77890016110071,34.430512016718914
18,1.7442612648010254,1.000000000000005e-88,33.70923498933252,33.5423197492163
19,1.703054904937744,1.0000000000000054e-93,34.13158009317716,34.13444792755137
20,1.6516101360321045,1.0000000000000058e-97,33.98354160316976,34.25635667014977
21,1.6856662034988403,1.000000000000006e-102,34.03143640876039,33.82096830372692
22,1.718721628189087,1.0000000000000064e-106,33.805024600513775,34.22152560083594
23,1.6890352964401243,1.0000000000000066e-111,34.20124526494535,34.30860327412051
24,1.698388695716858,1.0000000000000069e-115,34.279618583184565,33.80355276907001
25,1.7124584913253784,1.000000000000007e-120,34.28397265642008,34.430512016718914
26,1.655147671699524,1.0000000000000073e-124,33.98789567640528,34.01253918495298
27,1.6851662397384644,1.0000000000000076e-129,34.49296817172465,33.768721699756185
28,1.7209413051605225,1.0000000000000079e-133,34.04449862846693,34.27377220480668
29,1.664267659187317,1.0000000000000081e-138,34.29703487612661,33.96029258098224
30,1.6874454021453855,1.0000000000000084e-142,33.83114903992685,34.09961685823754
31,1.680862545967102,1.0000000000000087e-147,34.03579048199591,34.15186346220829
32,1.6922852993011477,1.0000000000000091e-151,34.192537118474334,33.80355276907001
33,1.6498111486434937,1.0000000000000094e-156,34.05320677493795,33.68164402647161
34,1.65962815284729,1.0000000000000096e-160,34.04449862846693,34.09961685823754
35,1.6949554681777954,1.0000000000000099e-165,34.07933121435103,34.1692789968652
36,1.6678731441497805,1.0000000000000102e-169,33.97047938346323,34.18669453152211
37,1.6798924207687378,1.0000000000000105e-174,34.192537118474334,34.36084987809126
38,1.6657475233078003,1.0000000000000108e-178,33.94435494405016,34.20411006617903
39,1.7055072784423828,1.000000000000011e-183,33.6656942569774,33.75130616509927
40,1.6649367809295654,1.0000000000000114e-187,,
41,1.648512601852417,1.0000000000000116e-192,,
42,1.698453426361084,1.0000000000000117e-196,,
43,1.6756575107574463,1.000000000000012e-201,,
44,1.714613914489746,1.0000000000000122e-205,,
45,1.7001261711120603,1.0000000000000122e-210,,
46,1.681739091873169,1.0000000000000125e-214,,
47,1.693886399269104,1.0000000000000126e-219,,
48,1.6561871767044067,1.0000000000000128e-223,,
49,1.7111693620681765,1.000000000000013e-228,,
50,1.666481375694275,1.0000000000000133e-232,,
51,1.6691629886627195,1.0000000000000134e-237,,
52,1.6671050786972046,1.0000000000000136e-241,,
53,1.7128087282180786,1.000000000000014e-246,,
54,1.6953250169754028,1.0000000000000143e-250,,
55,1.6371077299118042,1.0000000000000146e-255,,
56,1.671126365661621,1.000000000000015e-259,,
57,1.6552166938781738,1.0000000000000152e-264,,
58,1.677978754043579,1.0000000000000153e-268,,
59,1.6726728677749634,1.0000000000000155e-273,,
60,1.6688714027404783,1.0000000000000156e-277,,
61,1.6834791898727417,1.0000000000000159e-282,,
62,1.6758593320846558,1.0000000000000161e-286,,
63,1.6575521230697632,1.0000000000000163e-291,,
64,1.7338106632232666,1.0000000000000166e-295,,
65,1.6565558910369873,1.0000000000000168e-300,,
66,1.6776766777038574,1.000000000000017e-304,,
67,1.666795015335083,1.000000000000017e-309,,
68,1.6680991649627686,1e-313,,
69,1.646685004234314,1e-318,,
70,1.6925840377807615,1e-322,,
71,1.703147053718567,0.0,,
72,1.6702712774276731,0.0,,
73,1.6681060791015625,0.0,,
74,1.7238231897354126,0.0,,
75,1.7142767906188965,0.0,,
76,1.7135347127914429,0.0,,
77,1.644545316696167,0.0,,
78,1.6694594621658323,0.0,,
79,1.7007540464401243,0.0,,
80,1.639968991279602,0.0,,
81,1.7338255643844604,0.0,,
82,1.7355483770370483,0.0,,
83,1.6602169275283811,0.0,,
84,1.6650608777999878,0.0,,
85,1.6749063730239868,0.0,,
86,1.708553433418274,0.0,,
87,1.6898386478424072,0.0,,
88,1.638274073600769,0.0,,
89,1.6361902952194214,0.0,,
90,1.652065396308899,0.0,,
91,1.7100234031677246,0.0,,
92,1.6969883441925049,0.0,,
93,1.662434458732605,0.0,,
94,1.6618387699127195,0.0,,
95,1.6337734460830688,0.0,,
96,1.6917935609817505,0.0,,
97,1.7026562690734863,0.0,,
98,1.669690489768982,0.0,,
99,1.6481777429580688,0.0,,
100,1.6806509494781494,0.0,,
101,1.6500606536865234,0.0,,
102,1.6721383333206177,0.0,,
103,1.65634024143219,0.0,,
104,1.6609214544296265,0.0,,
105,1.671219825744629,0.0,,
106,1.6697189807891846,0.0,,
107,1.6771867275238037,0.0,,
108,1.675005555152893,0.0,,
109,1.6724056005477903,0.0,,
110,1.6860809326171875,0.0,,
111,1.7402993440628052,0.0,,
112,1.6648818254470823,0.0,,
113,1.7044540643692017,0.0,,
114,1.660735845565796,0.0,,
115,1.6467664241790771,0.0,,
116,1.671554446220398,0.0,,
117,1.7120312452316284,0.0,,
118,1.7168844938278198,0.0,,
119,1.6417323350906372,0.0,,
120,1.652777910232544,0.0,,
121,1.6544787883758545,0.0,,
122,1.65334951877594,0.0,,
123,1.643282771110535,0.0,,
124,1.6676756143569946,0.0,,
125,1.697701930999756,0.0,,
