epoch,lossRate,learnRate,trainAcc,testAcc
0,1.6375881433486938,[0.0006394955530196126],0.4647973178908869,0.4618599791013584
1,1.4577467441558838,[7.783603724897385e-05],0.5049418731223059,0.4956461163357715
2,1.5683321952819824,[0.00012494446518477245],0.5177428484347106,0.5132358063392546
3,1.5507209300994873,[0.0007128896457827004],0.5119083902991248,0.5064437478230581
4,1.4761710166931152,[0.0009938441702977926],0.538860103626943,0.5172413793103449
5,1.4354124069213867,[0.0005626666167820194],0.5638089432664257,0.5254266805990944
6,1.4252058267593384,[4.112268715803574e-05],0.5592807071014935,0.5365726227795193
7,1.2665834426879883,[0.00018128800512570237],0.5751295336787565,0.5332636711947056
8,1.3888764381408691,[0.0007810416889262447],0.5806156659555014,0.5445837687216998
9,1.1406770944595337,[0.0009755282581477957],0.5818348064614447,0.5466736328805294
10,1.3218016624450684,[0.00048429462046115275],0.5989898550093613,0.5630442354580285
11,1.2526746988296509,[1.5708419435674336e-05],0.5986850698828754,0.5527690700104493
12,1.2408721446990967,[0.0002454792921250376],0.6020812470065746,0.5583420411006618
13,1.1637948751449585,[0.0008422735529643495],0.6047372316802369,0.5543364681295716
14,1.1934627294540405,[0.0009455032620950297],0.6046066094831715,0.5525949146638802
15,1.1845264434814453,[0.00040630934270712195],0.611050637871729,0.5550330895158482
16,1.3683397769927979,[2.2190176984613885e-06],0.612531022771803,0.5606060606060606
17,1.027068853378296,[0.0003159377236578139],0.6110941786040841,0.5539881574364333
18,1.2274366617202759,[0.0008950775061874422],0.6173640440632211,0.5670498084291188
19,1.2982397079467773,[0.0009045084971864535],0.6162319850219881,0.5689655172413793
20,1.1875898838043213,[0.00033063103987787825],,
21,1.068738579750061,[9.866357858653857e-07],,
22,1.0027425289154053,[0.00039092837930182256],,
23,1.1019281148910522,[0.0009381533400229986],,
24,1.3549432754516602,[0.000853553390593456],,
25,1.1493180990219116,[0.00025912316294896307],,
26,1.3189865350723267,[1.2041619030633455e-05],,
27,1.0787010192871094,[0.00046860474023535756],,
28,1.2802150249481201,[0.0009704403844762421],,
29,1.3422515392303467,[0.0007938926261447885],,
30,1.3857381343841553,[0.00019354647317367494],,
31,1.0709813833236694,[3.511175705583898e-05],,
32,1.3475068807601929,[0.0005470541566600183],,
33,0.7978400588035583,[0.0009911436253647926],,
34,0.9340778589248657,[0.0007269952498694424],,
35,1.2579249143600464,[0.00013551568628912642],,
36,1.1354576349258423,[6.962898649805037e-05],,
37,1.1971988677978516,[0.0006243449435820086],,
38,1.1926559209823608,[0.0009997532801812902],,
39,0.9353426694869995,[0.0006545084971881985],,
40,0.8658660054206848,[8.645971286273703e-05],,
41,1.3796743154525757,[0.00011474337861228175],,
42,1.3251532316207886,[0.0006985739453178728],,
43,1.000854730606079,[0.0009960573506572381],,
44,1.1406874656677246,[0.0005782172325196019],,
45,1.1679322719573975,[4.758647376707103e-05],,
46,0.8467263579368591,[0.00016934406733868748],,
47,1.2213644981384277,[0.0007679133974885034],,
48,1.1899601221084595,[0.0009801468428397915],,
49,1.269257664680481,[0.000500000000001995],,
50,1.1701107025146484,[1.9853157161506043e-05],,
51,1.259190320968628,[0.00023208660251077174],,
52,0.8766577839851379,[0.0008306559326650247],,
53,1.1974718570709229,[0.000952413526232371],,
54,1.167751669883728,[0.0004217827674807291],,
55,1.160771369934082,[3.942649342776139e-06],,
56,0.9930775761604309,[0.0003014260546822618],,
57,1.0628104209899902,[0.0008852566213892931],,
58,1.0810189247131348,[0.0009135402871345929],,
59,1.2075423002243042,[0.000345491502812482],,
60,1.0009640455245972,[2.4671981713481043e-07],,
61,1.1188292503356934,[0.00037565505641912064],,
62,1.0710268020629883,[0.0009303710135015468],,
63,0.9719135165214539,[0.0008644843137126065],,
64,1.2703882455825806,[0.0002730047501295881],,
65,1.2505325078964233,[8.856374635720047e-06],,
66,1.0443799495697021,[0.00045294584334156597],,
67,0.9962530136108398,[0.0009648882429486924],,
68,1.0133801698684692,[0.0008064535268266785],,
69,1.1389331817626953,[0.0002061073738543604],,
70,1.3502602577209473,[2.955961552300331e-05],,
71,1.1201978921890259,[0.0005313952597684073],,
72,0.9553624987602234,[0.0009879583809718202],,
73,1.2097654342651367,[0.0007408768370546694],,
74,1.1459636688232422,[0.00014644660940683383],,
75,1.0373457670211792,[6.18466599777512e-05],,
76,1.0502195358276367,[0.0006090716207013105],,
77,1.006448745727539,[0.0009990133642217764],,
78,1.025371789932251,[0.0006693689601246951],,
79,1.108871579170227,[9.549150281307042e-05],,
80,1.0350326299667358,[0.00010492249381218152],,
81,1.1106934547424316,[0.0006840622763392655],,
82,1.2250144481658936,[0.0009977809822997415],,
83,1.1090704202651978,[0.0005936906572978184],,
84,0.9819625616073608,[5.449673790599647e-05],,
85,1.0725884437561035,[0.0001577264470353534],,
86,0.9098768830299377,[0.0007545207078757312],,
87,1.1007838249206543,[0.0009842915805605493],,
88,1.0551470518112183,[0.0005157053795384609],,
89,0.9065890312194824,[2.4471741852648034e-05],,
90,1.2821863889694214,[0.00021895831107462526],,
91,1.1500238180160522,[0.0008187119948791518],,
92,1.2189477682113647,[0.000958877312836387],,
93,1.1574887037277222,[0.00043733338321652344],,
94,1.190717339515686,[6.155829702424904e-06],,
95,0.9127111434936523,[0.00028711035421781055],,
96,1.0145223140716553,[0.0008750555348184198],,
97,0.952419638633728,[0.0009221639627568055],,
98,1.102766513824463,[0.0003605044469784539],,
99,0.9109649062156677,[0.0],,
